"","OWNERID","NAME","CREATEDDATE","CREATEDBYID","STREET_LINE__C","GIS_LONG__C","CONTINENT__C","POST_CODE__C","NEIGHBOURHOOD__C","GIS_INFO__C","COUNTRY__C","PROVINCE__C","SUBMITTED_BY__C","GIS_LAT__C","MUNICIPALITY__C","CITY__C"
"43","00530000000yQOsAAM","Rondebosch Police Station","2011-04-15T12:52:53.000Z","00530000000yQOsAAM","Church Street",33.9627,"Africa","7800","Rondebosch","33.962700, 18.468560","South Africa","Western Cape","U-turn Homeless Ministry-Dylan Marais",18.46856,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"44","00530000002TwzjAAC","Muizenberg - Beach","2009-10-05T14:32:46.000Z","00530000002TwzjAAC",NA,18.46797,"Africa",NA,"Muizenberg","-34.109443, 18.46797","South Africa","Western Cape","U-turn Homeless Ministry-Jaki North",-34.109443,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"45","00530000002TwzjAAC","Fish Hoek - Beach","2009-10-05T14:28:32.000Z","00530000002TwzjAAC",NA,-34.136462,"Africa",NA,"Fish Hoek","-34.136462, 18.43498","South Africa","Western Cape","U-turn Homeless Ministry-Jaki North",18.43498,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"46","00530000000vJXIAA2","test for DELSTAT","2010-10-07T11:52:04.000Z","00530000000vJXIAA2","54 church street",18.419081,"Africa","PL3 5eu","langkloof","-33.923121, 18.41908","South Africa","Eastern Cape","U-turn Homeless Ministry-Sam Vos",-33.923121,"Baviaans Local Municipality (EC107)","langkloof"
"47","005a0000009DdDzAAK","Graze Coffee Shop","2015-09-04T07:57:56.000Z","005a0000009DdDzAAK","155 2nd Ave",18.47876,"Africa","7708","Kenilworth","-33.997974, 18.47876","South Africa","Western Cape","U-turn Homeless Ministry-Jacquie Besselaar",-33.997974,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"48","00530000001jKtBAAU","Mitrekraft","2009-06-29T14:00:38.000Z","00530000001jKtBAAU","11th Avenue",18.480411,"Africa",NA,"Retreat","-34.059305, 18.48041","South Africa","Western Cape","U-turn Homeless Ministry-Roxy Garvey",-34.059305,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"49","00530000003RrcyAAC","Jubilee Community Church","2012-10-29T13:23:17.000Z","00530000003RrcyAAC",NA,18.469469,"Africa",NA,"Observatory","-33.932764, 18.46946","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",-33.932764,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"50","00530000003RrcyAAC","Common Ground Wynberg","2012-10-29T15:45:40.000Z","00530000003RrcyAAC",NA,-33.958568,"Africa",NA,"Wynberg","-33.958568, 18.48613","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",18.48613,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"51","00530000003RrcyAAC","Shofar Church","2012-10-29T15:43:08.000Z","00530000003RrcyAAC",NA,18.46976,"Africa",NA,"Rondebosch","-33.960004, 18.46976","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",-33.960004,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"52","00530000006r3xJAAQ","Pinotage Youth Dev Academy","2013-08-06T10:39:20.000Z","00530000006r3xJAAQ",NA,33.934149,"Africa",NA,"Bosman's Crossing","33.934149, 18.858043","South Africa","Western Cape","U-turn Homeless Ministry-Annakie Gammon",18.858043,"Stellenbosch Local Municipality (WC024)","Stellenbosch"
"53","00530000003RrcyAAC","Outdoor recreational space","2012-10-29T13:05:29.000Z","00530000003RrcyAAC",NA,NA,"Africa",NA,"Other",NA,"South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",NA,"City of Cape Town Metropolitan Municipality (City Bowl) (CPT)","Cape Town"
"54","00530000003RrcyAAC","The Training Academy (Straatwerk)","2013-08-02T10:12:39.000Z","00530000003RrcyAAC","Canterbury Road",-33.890299,"Africa",NA,"City Center","-33.890299, 18.59737","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",18.59737,"City of Cape Town Metropolitan Municipality (City Bowl) (CPT)","Cape Town"
"55","00530000002TwzjAAC","Lion's Head","2009-12-03T06:06:45.000Z","00530000002TwzjAAC","Lion's Head",-33.934851,"Africa",NA,"Tamboerskloof","-33.934851, 18.38897","South Africa","Western Cape","U-turn Homeless Ministry-Jaki North",18.38897,"City of Cape Town Metropolitan Municipality (City Bowl) (CPT)","Cape Town"
"56","00530000002TwzjAAC","Kirstenbosch Botanical Gardens","2009-12-18T09:24:57.000Z","00530000002TwzjAAC","Kirstenbosch Botanical Gardens",18.435386,"Africa",NA,"Constantia","-33.986463, 18.43538","South Africa","Western Cape","U-turn Homeless Ministry-Jaki North",-33.986463,"City of Cape Town Metropolitan Municipality (South Peninsula) (CPT)","Cape Town"
"57","00530000002TwzjAAC","U-turn HQ 155 2nd Ave","2011-02-02T12:44:49.000Z","00530000002TwzjAAC","155 2nd Ave",-33.994143,"Africa","7708","Kenilworth","-33.994143, 18.47404","South Africa","Western Cape","U-turn Homeless Ministry-Jaki North",18.47404,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
